target,MAE,RMSE,R2,fold
Cd,0.15255098044872284,0.2283258465177005,-0.06666886806488037,1
Cu,0.2882324457168579,0.3786902647784768,0.21463018655776978,1
Ni,0.5758269429206848,0.696478990329674,-0.5719285011291504,1
Mn,8.089526176452637,10.89554628148459,-0.280176043510437,1
Fe,8.217838287353516,11.855016980683946,0.42450010776519775,1
Zn,1.1630419492721558,1.6046354261230316,-0.09046399593353271,1
OVERALL,3.0811694636940956,4.276448964986236,-0.06168451905250549,1
Cd,0.07076188176870346,0.10510821886477287,0.7465630769729614,2
Cu,0.22111856937408447,0.28688493376925395,0.842359185218811,2
Ni,0.3611707389354706,0.41095974648021344,0.8170322179794312,2
Mn,7.461524486541748,9.120966607786237,0.5979112386703491,2
Fe,10.401774406433105,15.248968370908019,0.8034822940826416,2
Zn,0.9130843281745911,1.2812883324820334,0.765842080116272,2
OVERALL,3.2382390685379505,4.409029368381755,0.7621983488400778,2
Cd,0.09544771909713745,0.12457127736107611,0.5593216419219971,3
Cu,0.22255423665046692,0.29313984007776306,0.8163301348686218,3
Ni,0.41031646728515625,0.5316952074047633,0.6784579753875732,3
Mn,5.981549263000488,7.245153714715341,0.7187877893447876,3
Fe,10.507681846618652,15.592997989601324,0.79532390832901,3
Zn,0.9504574537277222,1.5101893374493407,0.6870686411857605,3
OVERALL,3.028001164396604,4.216291227768267,0.7092150151729584,3
Cd,0.09172306954860687,0.11075980703943754,0.2975414991378784,4
Cu,0.32463058829307556,0.5404502861969425,0.4515177607536316,4
Ni,0.6245726943016052,0.8509583736329327,0.3497720956802368,4
Mn,9.849063873291016,12.549580625540964,0.31929445266723633,4
Fe,13.169930458068848,22.902019614903097,0.21376198530197144,4
Zn,0.7993258237838745,1.2876338092934778,0.6300109624862671,4
OVERALL,4.143207751214504,6.373567086101141,0.37698312600453693,4
Cd,0.06821110099554062,0.0822772611637459,0.6677684783935547,5
Cu,0.1178973913192749,0.1332274783852418,0.5659829378128052,5
Ni,0.20996932685375214,0.25370147957620354,0.6706286668777466,5
Mn,5.3888959884643555,7.360463444589656,0.6120001077651978,5
Fe,4.6850905418396,5.861663290150639,-0.7502578496932983,5
Zn,0.4496723711490631,0.5925559284275118,0.8608348965644836,5
OVERALL,1.8199561201035976,2.380648147048833,0.43782620628674823,5
