target,MAE,RMSE,R2,fold
Cd,0.13221722841262817,0.17805343327949438,0.35133546590805054,1
Cu,0.3167497515678406,0.38986219312811166,0.16760754585266113,1
Ni,0.5208486914634705,0.6300392134133697,-0.2863285541534424,1
Mn,6.823734283447266,9.417063836918265,0.04368114471435547,1
Fe,10.270710945129395,14.146273906215994,0.1805451512336731,1
Zn,1.3010473251342773,1.7994700393408476,-0.37134850025177,1
OVERALL,3.227551370859146,4.42679377038268,0.014248708883921305,1
Cd,0.08270402997732162,0.1190823428071864,0.6746946573257446,2
Cu,0.23356573283672333,0.3503044613605827,0.7649585008621216,2
Ni,0.38698384165763855,0.5077730897135878,0.7206714153289795,2
Mn,7.148322582244873,10.034844155690905,0.513299822807312,2
Fe,12.708855628967285,21.417352133541378,0.6123387813568115,2
Zn,1.1905373334884644,1.9514804477713985,0.4568203091621399,2
OVERALL,3.625161524862051,5.7301394384808395,0.6237972478071848,2
Cd,0.1177462562918663,0.1453115240187325,0.40036624670028687,3
Cu,0.26615145802497864,0.3916847349963755,0.6720848083496094,3
Ni,0.4830980896949768,0.5671300012957796,0.6341714859008789,3
Mn,7.760727882385254,10.25587890251188,0.43651193380355835,3
Fe,14.467225074768066,27.72133826522168,0.35310137271881104,3
Zn,1.2650461196899414,2.2864652617631243,0.2826758027076721,3
OVERALL,4.05999914680918,6.894634781634596,0.4631519416968028,3
Cd,0.08730088174343109,0.12212586092694262,0.14597314596176147,4
Cu,0.2600783407688141,0.3124615168718112,0.816665530204773,4
Ni,0.44099798798561096,0.5201788000213224,0.7570290565490723,4
Mn,7.859940528869629,8.979882538500904,0.6514683961868286,4
Fe,6.5192036628723145,9.307851975533211,0.8701310157775879,4
Zn,0.8049294948577881,0.9329186716153294,0.8057810068130493,4
OVERALL,2.6620751495162644,3.3625698939115867,0.6745080252488455,4
Cd,0.07817088067531586,0.1165837870200566,0.33295130729675293,5
Cu,0.22175297141075134,0.26089545899204675,-0.6643792390823364,5
Ni,0.25109294056892395,0.34841296532985483,0.3788042664527893,5
Mn,5.9861273765563965,7.3095342376573065,0.6173509359359741,5
Fe,5.63631534576416,6.703354340300168,-1.2889938354492188,5
Zn,0.6889536380767822,0.8436128363558352,0.7179292440414429,5
OVERALL,2.143735525508722,2.5970656042758775,0.015610446532567343,5
